experiment,experiment_label,primary_metric,model,optimizer,seed,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test,auc_pr_test,reported_metric
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,de,1,0.6314741035856574,0.6312222812770847,0.2625237764543131,0.6405440414507773,0.6728640456599454,0.647830411757449,0.6314741035856574
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,de,2,0.6357901726427623,0.6354440178281974,0.2710676156613248,0.646471156944892,0.673284829933023,0.6466804964457287,0.6357901726427623
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,de,3,0.6328021248339973,0.6323845103751552,0.2650314707094002,0.6448298008991651,0.6724026826100094,0.6496515807474837,0.6328021248339973
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,ga,1,0.6401062416998672,0.638949450753023,0.280061576314151,0.6643962848297214,0.6805093959716743,0.6503354722322414,0.6401062416998672
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,ga,2,0.6334661354581673,0.6325882864067713,0.2663648976997494,0.6534839924670434,0.6792463815419494,0.6563191476160217,0.6334661354581673
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,ga,3,0.6357901726427623,0.6356230937347691,0.2712650326622786,0.6432520325203253,0.6761771704683541,0.6502898500170412,0.6357901726427623
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,gwo,1,0.6321381142098274,0.6318993293474977,0.2638675676330214,0.6409591704471809,0.6727692148227215,0.6471301672438431,0.6321381142098274
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,gwo,2,0.6298140770252324,0.6294145408753988,0.2590610864999868,0.6415943426550949,0.6723673967170888,0.6493596305207656,0.6298140770252324
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,gwo,3,0.6318061088977424,0.631611969857026,0.2632589511939275,0.6398181227671322,0.6721711189377182,0.6477271168499082,0.6318061088977424
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,pso,1,0.6367861885790173,0.6367026215213072,0.2733811278632138,0.6427171783148269,0.6726064586416254,0.6469477748511894,0.6367861885790173
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,pso,2,0.6334661354581673,0.6332150520797726,0.2665105210196271,0.6424870466321243,0.6732623351762862,0.6484697214675784,0.6334661354581673
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,pso,3,0.6318061088977424,0.631611969857026,0.2632589511939275,0.6398181227671322,0.6721711189377182,0.6477271168499082,0.6318061088977424
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,random_search,1,0.6344621513944223,0.6337829344189627,0.2682860095809328,0.6510301109350237,0.6747756589089161,0.6479804663306852,0.6344621513944223
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,random_search,2,0.6351261620185923,0.63461347612358,0.2696377524569002,0.6487695749440716,0.6739340903627611,0.6455263728845415,0.6351261620185923
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,cnn,random_search,3,0.6334661354581673,0.6331766786712214,0.2664690344038883,0.643180349062702,0.6727588495916761,0.6450201852901523,0.6334661354581673
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,mlp,de,1,0.6520584329349269,0.6518654107829278,0.3037763808208528,0.6597402597402597,0.6946477916544452,0.6742519557169936,0.6520584329349269
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,mlp,de,2,0.648406374501992,0.6480776907147379,0.2963357450965052,0.6584972589487262,0.6930883757241878,0.6736195861205597,0.648406374501992
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,mlp,de,3,0.651062416998672,0.650990541175329,0.3019517169382406,0.6566481541979745,0.694568398395374,0.6746442808113771,0.651062416998672
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,accuracy_test,mlp,ga,1,0.647742363877822,0.6472727312824879,0.2949283565232774,0.6602625680435479,0.6916925981223495,0.6701524927152205,0.647742363877822
