experiment,experiment_label,model,optimizer,seed,budget,best_fitness_at_budget,progress_to_final_at_budget,runtime_minutes_at_budget
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,2,1000,0.4243948794614969,1.0,26.338907928562765
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,3,50,0.4199087286507206,0.8695013037112703,4.319096370699966
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,3,100,0.4204013975352927,0.8937459989024359,10.36206454635003
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,3,250,0.4204013975352927,0.8937459989024359,33.10090848589998
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,3,500,0.4225605519313082,1.0,54.58398058388299
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,de,3,1000,0.4225605519313082,1.0,78.42057163376694
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,1,50,0.4130686100805243,0.6245703565956046,3.354444111349979
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,1,100,0.4138092508663397,0.6659857291925787,5.625221465449916
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,1,250,0.4173198096983201,0.8622902061192803,9.330511535751763
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,1,500,0.4173198096983201,0.8622902061192803,10.889394821737095
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,1,1000,0.4197825061213807,1.0,18.400875445274142
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,2,50,0.4156018881549413,0.9401916329034115,4.807352575133367
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,2,100,0.4156586536428776,0.942533292444378,6.364147006350352
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,2,250,0.4156586536428776,0.942533292444378,11.022635288301535
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,2,500,0.4156586536428776,0.942533292444378,18.93806192270349
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,2,1000,0.4170517364704259,1.0,41.60686387650958
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,3,50,0.4116065632123993,0.0,3.0487032460661796
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,3,100,0.4116065632123993,0.0,6.296145144015402
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,3,250,0.4157401268488981,1.0,15.988489251263552
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,3,500,0.4157401268488981,1.0,28.21408456239733
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,ga,3,1000,0.4157401268488981,1.0,52.9843744761815
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,1,50,0.4185484268966397,0.7428236479696453,2.6961124036168256
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,1,100,0.4211867594668745,0.8428649714639459,6.056225523850147
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,1,250,0.4211867594668745,0.8428649714639459,14.236512987733356
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,1,500,0.425330791645088,1.0,27.959471115733503
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,1,1000,0.425330791645088,1.0,42.720839961832766
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,2,50,0.4192409309913235,0.9199503289060097,2.8868079676167024
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,2,100,0.4201615853068198,0.9613237729053695,4.961940342533338
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,2,250,0.4206652497306523,0.9839580358237694,13.34112762628353
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,2,500,0.4209568795892344,0.9970636406305894,27.055265912600134
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,2,1000,0.4210222203407884,1.0,60.028093653099496
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,3,50,0.4185282943334305,0.770663835541244,3.371223088133229
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,3,100,0.4204597119775769,0.8620461050845709,5.437267166199975
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,3,250,0.4233754481269407,1.0,11.069245189049889
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,3,500,0.4233754481269407,1.0,23.256146186000205
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,gwo,3,1000,0.4233754481269407,1.0,51.26436957343382
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,1,50,0.4214655918521407,1.0,2.7815735370666514
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,1,100,0.4214655918521407,1.0,4.299152119816457
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,1,250,0.4214655918521407,1.0,7.840661665399511
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,1,500,0.4214655918521407,1.0,13.356164262998785
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,1,1000,0.4214655918521407,1.0,23.57538131407767
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,2,50,0.4182060642014679,0.810428325387288,2.2569687355332464
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,2,100,0.4202943882844721,0.8975051109637144,3.3400874750498892
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,2,250,0.4227524779319299,1.0,8.960193222433555
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,2,500,0.4227524779319299,1.0,20.715200707533405
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,2,1000,0.4227524779319299,1.0,41.614366500898996
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,3,50,0.4180018203510707,0.8678758497059809,5.922725536683265
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,rf,pso,3,100,0.4198459566389359,0.9694166301662507,15.390484703916627
